,VehicleID,FinancialYear,VehicleType,Manufacturer,ConditionScore,Year,Month
19566,21124,2004-05,Personnel Vehicle,Fiat,85,2004,5
19567,21124,2010-11,Personnel Vehicle,Fiat,70,2010,11
19568,21125,2006-07,Light Goods Vehicle,Volvo,10,2006,7
19569,21126,2007-08,Heavy Goods Vehicle,Volvo,65,2007,8
19570,21127,2003-04,Light Goods Vehicle,Volvo,35,2003,4
19571,21127,2008-09,Light Goods Vehicle,Volvo,20,2008,9
19572,21128,2005-06,Light Goods Vehicle,Volvo,20,2005,6
19573,21128,2011-12,Light Goods Vehicle,Volvo,0,2011,12
19574,21129,2004-05,Light Goods Vehicle,Volvo,20,2004,5
19575,21130,2004-05,Heavy Goods Vehicle,Volvo,10,2004,5
19576,21130,2010-11,Heavy Goods Vehicle,Volvo,30,2010,11
19577,21131,2003-04,Light Goods Vehicle,Mercedes Benz,35,2003,4
19578,21132,2003-04,Light Goods Vehicle,Mercedes Benz,35,2003,4
19579,21133,2006-07,Personnel Vehicle,Mercedes Benz,80,2006,7
19580,21134,2005-06,Light Goods Vehicle,Mercedes Benz,20,2005,6
19581,21135,2008-09,Light Goods Vehicle,Mercedes Benz,70,2008,9
19582,21136,2003-04,Light Goods Vehicle,Mercedes Benz,48,2003,4
19583,21136,2009-10,Light Goods Vehicle,Mercedes Benz,48,2009,10
19584,21138,2005-06,Heavy Goods Vehicle,Mercedes Benz,65,2005,6
19585,21138,2011-12,Heavy Goods Vehicle,Mercedes Benz,30,2011,12
19586,21139,2002-03,Personnel Vehicle,Mercedes Benz,85,2002,3
19587,21140,2004-05,Light Goods Vehicle,Mercedes Benz,35,2004,5
